id,"cod_jud","denumire_uat","nr_sv","sediu",lat,long,"adresa"
1,"AB","Alba Iulia","AB1","Centrul de zi pentru persoane vârstnice",46.0732440000,23.5879454100,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Libertăţii, Nr: 21"
2,"AB","Alba Iulia","AB2","Şcoala gimnazială „Vasile Goldiş",46.0736873300,23.5831811200,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Călăraşilor, Nr: 2"
3,"AB","Alba Iulia","AB4","Şcoală gimnazială „Avram Iancu",46.0622295200,23.5787374500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Moldovei, Nr: 2"
4,"AB","Alba Iulia","AB3","Şcoala gimnazială „Vasile Goldiş",46.0736873300,23.5831811200,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Călăraşilor, Nr: 2"
5,"AB","Alba Iulia","AB6","Casa de cultură a studenţilor",46.0700268000,23.5807569000,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Nr: 1"
6,"AB","Alba Iulia","AB5","Şcoală gimnazială „Avram Iancu",46.0622295200,23.5787374500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Moldovei, Nr: 2"
7,"AB","Alba Iulia","AB7","Colegiul EconomicDionisie Pop Marţian",46.0657964800,23.5776113600,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Octavian Goga (Bulevardul Încoronării, Bulevardul Octavian Goga), Nr: 11"
8,"AB","Alba Iulia","AB8","Colegiul Naţional „Horea Cloşca şi Crişan",46.0668403100,23.5637232500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Bulevardul 1 Decembrie 1918, Nr: 11"
9,"AB","Alba Iulia","AB9","Colegiul Naţional „Horea Cloşca şi Crişan",46.0668403100,23.5637232500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Bulevardul 1 Decembrie 1918, Nr: 11"
10,"AB","Alba Iulia","AB10","Colegiul Naţional „Horea Cloşca şi Crişan",46.0668403100,23.5637232500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Bulevardul 1 Decembrie 1918, Nr: 11"
11,"AB","Alba Iulia","AB11","Colegiul Naţional „Horea Cloşca şi Crişan",46.0668403100,23.5637232500,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Bulevardul 1 Decembrie 1918, Nr: 11"
12,"AB","Alba Iulia","AB13","Colegiul Tehnic „Apulum",46.0657417900,23.5612421800,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Nr: 2"
13,"AB","Alba Iulia","AB15","Grădiniţa cu program prelungit nr.9",46.0673625500,23.5616885000,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Artera: Strada Vasile Goldiş (Strada Narciselor), Nr: 7"
14,"AB","Alba Iulia","AB14","Colegiul Tehnic „Apulum",46.0657417900,23.5612421800,"UAT: MUNICIPIUL ALBA IULIA, Localitate: ALBA IULIA, Nr: 2"
15,"AB","Gârboviţa","AB71","Fosta Şcoală Generală Gîrboviţa",46.2813840000,23.6400660100,"UAT: MUNICIPIUL AIUD, Localitate: GÂRBOVIŢA, Nr: 66"
16,"AB","Blaj","AB75","Piaţa Agroalimentară",46.1749483200,23.9085270200,"UAT: MUNICIPIUL BLAJ, Localitate: BLAJ, Artera: Strada Gării, Nr: FN"
17,"DJ","Craiova","DJ4","LICEUL CU PROGRAM SPORTIV PETRACHE TRIŞCU",44.3126245900,23.8045857100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Tudor Vladimirescu, Nr: 9"
18,"DJ","Craiova","DJ6","LICEUL TEORETIC TRAIAN VUIA",44.3094070400,23.8121926100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Rovinari, Nr: 1A"
19,"DJ","Craiova","DJ7","LICEUL TEORETIC TRAIAN VUIA",44.3094070400,23.8121926100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Rovinari, Nr: 1A"
20,"DJ","Craiova","DJ5","LICEUL CU PROGRAM SPORTIV PETRACHE TRIȘCU",44.3126245900,23.8045857100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Tudor Vladimirescu, Nr: 9"
21,"DJ","Craiova","DJ8","UNIVERSITATEA DIN CRAIOVA",44.3187500000,23.8007357600,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Alexandru Ioan Cuza, Nr: 13"
22,"DJ","Craiova","DJ9","UNIVERSITATEA DIN CRAIOVA",44.3187500000,23.8007357600,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Alexandru Ioan Cuza, Nr: 13"
23,"DJ","Craiova","DJ10","UNIVERSITATEA DIN CRAIOVA",44.3187500000,23.8007357600,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Alexandru Ioan Cuza, Nr: 13"
24,"DJ","Craiova","DJ12","ŞCOALA GIMNAZIALĂ MIRCEA ELIADE",44.3134941700,23.8178078300,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Cloşca, Nr: 1"
25,"DJ","Craiova","DJ13","GRADINIŢA CU PROGRAM PRELUNGIT DUMBRAVA MINUNATA ( FOSTĂ NR.37)",44.3145295100,23.8209887100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Putnei, Nr: 50"
26,"DJ","Craiova","DJ14","GRADINIŢA CU PROGRAM PRELUNGIT DUMBRAVA MINUNATA(FOSTĂ NR.37)",44.3145295100,23.8209887100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Putnei, Nr: 50"
27,"DJ","Craiova","DJ15","ŞCOALA GIMNAZIALĂ MIHAI EMINESCU(FOSTA NR.37",44.3124741500,23.8386841100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Ion Ţuculescu, Nr: 3"
28,"DJ","Craiova","DJ16","ŞCOALA GIMNAZIALĂ MIHAI EMINESCU(FOSTA NR.37)",44.3124741500,23.8386841100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Ion Ţuculescu, Nr: 3"
29,"DJ","Craiova","DJ17","ŞCOALA GIMNAZIALĂ MIHAI EMINESCU(FOSTA NR. 37)",44.3124741500,23.8386841100,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Ion Ţuculescu, Nr: 3"
