"JUDET","Număr birou de circumscripție","Nr SV","UAT","Sediu SV","Adresa SV","Localitate componentă / Sat aparţinător","formatted_address","latitude","longitude","google_place_id","status"
"AB",1,1,"MUNICIPIUL ALBA IULIA","Centrul de zi pentru persoane vârstnice","ALBA IULIA,  Strada Libertăţii , Nr. 21","ALBA IULIA","Centru de zi, Alba Iulia, Romania","46.07252","23.58783","ChIJCewy2AioTkcRkzDx5Q32ZtI","OK"
"AB",1,2,"MUNICIPIUL ALBA IULIA","Şcoala gimnazială „Vasile Goldiş”","ALBA IULIA,  Strada Călăraşilor (Strada Teilor) , Nr. 2","ALBA IULIA","Strada Călărași 2, Alba Iulia, Romania","46.0742266","23.5838317","ChIJExYxfgyoTkcRb7qgjzhxDnA","OK"
"SM",62,323,"VALEA VINULUI","PRIMARIA COMUNIE VALEA VINULUI","VALEA VINULUI,  Nr. 63","VALEA VINULUI","Str. Principala, 63, Com. Valea Vinului, Satu-Mare, Valea Vinului, Romania","47.71704","23.19209","ChIJmTlGQoT7N0cRbgnmCxnAX5k","OK"
"SM",65,333,"VIILE SATU MARE","ŞCOALA PRIMARĂ DEALU MARE","VIILE SATU MARE,  Strada Şcolii , Nr. 10","VIILE SATU MARE","Viile Satu Mare 447360, Romania","47.6617717","22.9547128","ChIJhVd2LIr_R0cRgrM_GHR_lWY","OK"
"SJ",1,2,"MUNICIPIUL ZALĂU","CASA MUNICIPALĂ DE CULTURĂ","ZALĂU,  Strada 22 Decembrie 1989 (Piaţa 30 Decembrie) , Nr. 3","ZALĂU","Strada 22 Decembrie 1989 3, Zalău 450031, Romania","47.177559","23.0553235","ChIJt6WrWx5oSEcRECheSpoDHtM","OK"
"SJ",28,154,"GÂLGĂU","ȘCOALA CU CLASELE I-IV","CĂPÂLNA,  Nr. 58","CĂPÂLNA","Com. Hereclean, Salaj, 457165, Hereclean 457165, Romania","47.25","23.0096001","ChIJS-jgKVhpSEcRugIoYSTd1-w","OK"
"TM",65,479,"NIŢCHIDORF","Holul primăriei Niţchidorf","NIŢCHIDORF,  Nr. 212","NIŢCHIDORF","Nițchidorf, Romania","45.578502","21.5359018","ChIJnzKljzXuT0cR1YZpIu6FLx8","OK"
"VN",71,344,"VIZANTEA-LIVEZI","Scoala din Vizantea Razaseasca","VIZANTEA RĂZĂŞEASCĂ,","VIZANTEA RĂZĂŞEASCĂ","Vizantea Răzășească, Romania","45.9688949","26.8110357","ChIJHVv79hBQtEARUQczMBcvNS8","OK"
"B",1,64,"BUCUREŞTI SECTORUL 1","LICEUL TEORETIC ”JEAN MONNET”","BUCUREŞTI SECTORUL 1,  Strada Jean Monnet (Strada Grădina Bordei) , Nr. 2","BUCUREŞTI SECTORUL 1","Strada Jean Monnet 2, București 011957, Romania","44.4659244","26.0933393","ChIJl01sqg4CskAR5gfT0waa_vw","OK"
"B",6,1275,"BUCUREŞTI SECTORUL 6","Clubul Seniorilor Mihai Eminescu","BUCUREŞTI SECTORUL 6,  Calea Plevnei , Nr. 234","BUCUREŞTI SECTORUL 6","Calea Plevnei 234, București 010765, Romania","44.446682","26.065911","ChIJiaRHku8BskARqeWcUzlBqm4","OK"
